position,person,personID,start,end
President,Jorge Sampaio,Q156780,1996-03-09,2006-03-09
President,Aníbal Cavaco Silva,Q57398,2006-03-09,2016-03-09
President,Marcelo Rebelo de Sousa,Q6756617,2016-03-09,
Prime Minister,António Guterres,Q311440,1995-10-28,2002-04-06
Prime Minister,José Manuel Durão Barroso,Q15849,2002-04-06,2004-07-17
Prime Minister,Pedro Santana Lopes,Q239248,2004-07-17,2005-03-12
Prime Minister,José Sócrates,Q182367,2005-03-12,2011-06-21
Prime Minister,Pedro Passos Coelho,Q57615,2011-06-21,2015-11-26
Prime Minister,António Costa,Q610788,2015-11-26,
Prime Minister,António Costa,Q610788,2015-11-26,2019-10-26
Prime Minister,António Costa,Q610788,2015-11-26,2022-03-30
Deputy Prime Minister,Paulo Portas,Q58161,2013-07-24,2015-11-26
Minister of Agriculture,Luis Manuel Capoulas Santos,Q3496740,1998-10-03,2002-04-06
Minister of Agriculture,Luis Manuel Capoulas Santos,Q3496740,2015-11-26,2019-10-26
Minister of Agriculture,Maria do Céu Antunes,Q72410716,2019-10-26,
Minister of Culture,Augusto Santos Silva,Q769747,2001-07-03,2002-04-06
Minister of Culture,José António de Melo Pinto Ribeiro,Q1708982,2008-01-30,2009-10-26
Minister of Culture,Teresa Morais,Q23836573,2015-10-30,2015-11-26
Minister of Culture,Graça Fonseca,Q30930777,2019-10-26,2022-03-30
Minister of Culture,Pedro Adão e Silva,Q111435569,2022-03-30,
Minister of the Economy,Pedro Siza Vieira,Q42305316,2018-10-15,2019-10-26
Minister of the Economy,Pedro Siza Vieira,Q42305316,2019-10-26,2022-03-30
Minister of the Economy,António Costa Silva,Q97170467,2022-03-30,
Minister of Education,Augusto Santos Silva,Q769747,2000-09-14,2001-07-03
Minister of Education,Maria do Carmo Seabra,Q6761703,2004-07-17,2005-03-12
Minister of Education,Maria de Lurdes Rodrigues,Q275677,2005-03-12,2009-10-26
Minister of Education,Isabel Alçada,Q3154816,2009-10-26,2011-06-21
Minister of Education,Nuno Crato,Q2344342,2011-06-21,2015-10-30
Minister of Education,Tiago Brandão Rodrigues,Q23799289,2015-11-26,2022-03-30
Minister of Education,João Costa,Q108120815,2022-03-30,
Minister of the Environment,José Sócrates,Q182367,1999-10-25,2002-04-06
Minister of the Environment,Isaltino Morais,Q993533,2002-04-06,2003-04-05
Minister of the Environment,João Pedro Matos Fernandes,Q23800376,2015-11-26,2018-10-15
Minister for the Environment and Climate Action,João Pedro Matos Fernandes,Q23800376,2019-10-26,2022-03-30
Minister for the Environment and Climate Action,Duarte Cordeiro,Q111349255,2022-03-30,
Minister of Environment and Energy Transition,João Pedro Matos Fernandes,Q23800376,2018-10-15,2019-10-26
Minister for Equality,Maria de Belém Roseira,Q6761683,1999-10-25,2000-09-15
Minister for Finance,Guilherme d'Oliveira Martins,Q3119570,2001-07-03,2002-04-06
Minister for Finance,Manuela Ferreira Leite,Q444059,2002-04-06,2004-07-17
Minister for Finance,Luís Campos e Cunha,Q202794,2005-03-12,2005-07-21
Minister for Finance,Fernando Teixeira dos Santos,Q586749,2005-07-21,2011-06-21
Minister for Finance,Maria Luís Albuquerque,Q13581124,2013-07-02,2015-11-26
Minister for Finance,Mário Centeno,Q21568721,2015-11-26,2020-06-15
Minister for Finance,João Leão,Q96200181,2020-06-15,2022-03-30
Minister for Finance,Fernando Medina,Q20017756,2022-03-30,
Minister of Foreign Affairs,Jaime Gama,Q472589,1995-10-28,2002-04-06
Minister of Foreign Affairs,Antonio Martins da Cruz,Q16336736,2002-04-06,2003-10-09
Minister of Foreign Affairs,Teresa Patrício Gouveia,Q7702196,2003-10-09,2004-07-17
Minister of Foreign Affairs,António Victor Martins Monteiro,Q2857765,2004-07-17,2005-03-12
Minister of Foreign Affairs,Diogo de Freitas do Amaral,Q438868,2005-03-12,2006-07-03
Minister of Foreign Affairs,Luís Amado,Q1382641,2006-07-03,2011-06-21
Minister of Foreign Affairs,Paulo Portas,Q58161,2011-06-21,2013-07-24
Minister of Foreign Affairs,Rui Machete,Q10365280,2013-07-24,2015-11-26
Minister of Foreign Affairs,Augusto Santos Silva,Q769747,2019-10-26,2022-03-28
Minister of Foreign Affairs,António Costa,Q610788,2022-03-28,2022-03-30
Minister of Foreign Affairs,João Gomes Cravinho,Q57343622,2022-03-30,
Minister of Health,Manuela Arcanjo,Q10324724,1999-10-25,2001-07-03
Minister of Health,Ana Jorge,Q482868,2008-01-30,2011-06-21
Minister of Health,Adalberto Campos Fernandes,Q23805019,2015-11-26,2018-10-15
Minister of Health,Marta Temido,Q57339530,2018-10-15,
Minister of Health,Marta Temido,Q57339530,2018-10-15,2019-10-26
Minister of Health,Marta Temido,Q57339530,2018-10-15,2022-03-30
