position,person,personID,start,end
President,Marcelo Rebelo de Sousa,Q6756617,2016-03-09,
Prime Minister,António Costa,Q610788,2015-11-26,
Minister of Agriculture,Maria do Céu Antunes,Q72410716,2019-10-26,
Minister of Culture,Pedro Adão e Silva,Q111435569,2022-03-30,
Minister of the Economy,António Costa Silva,Q97170467,2022-03-30,
Minister of Education,João Costa,Q108120815,2022-03-30,
Minister for the Environment and Climate Action,Duarte Cordeiro,Q111349255,2022-03-30,
Minister for Finance,Fernando Medina,Q20017756,2022-03-30,
Minister of Foreign Affairs,João Gomes Cravinho,Q57343622,2022-03-30,
Minister of Health,Marta Temido,Q57339530,2018-10-15,
Minister for Infrastructure and Housing,Pedro Nuno Santos,Q10347660,2019-10-26,
Minister of Internal Administration,José Luís Carneiro,Q74256324,2022-03-30,
Minister of Justice,Catarina Sarmento e Castro,Q25336913,2022-03-30,
"Minister of Labour, Solidarity and Social Security",Ana Mendes Godinho,Q52112309,2019-10-26,
Minister of Maritime Affairs,António Costa Silva,Q97170467,2022-03-30,
Minister of National Defence,Helena Carreiras,Q111346739,2022-03-30,
Minister of Parliamentary Affairs,Ana Catarina Mendes,Q65498266,2022-03-30,
Minister of the Presidency,Mariana Vieira da Silva,Q28973799,2022-03-30,
"Minister for Science, Technology and Higher Education",Elvira Fortunato,Q10272093,2022-03-30,
Minister for Territorial Cohesion,Ana Abrunhosa,Q72426658,2019-10-26,
Deputy Minister for Cultural Heritage,Ângela Ferreira,Q108114536,2019-10-26,
President of the Assembly of the Republic,Augusto Santos Silva,Q769747,2022-03-29,
Governor of the Bank of Portugal,Mário Centeno,Q21568721,2020-07-20,
Chief of the General Staff of the Armed Forces,António Manuel Fernandes da Silva Ribeiro,Q106542530,2018-03-01,
