wanted,position,positionid,from,start,end
Q10321431,Minister of Culture,Q107815497,Q30930777,2019-10-26,2022-03-30
Q23904964,Minister of Maritime Affairs,Q107814783,Q16596372,2019-10-26,2022-03-30
Q22005939,Minister for Planning,Q107815181,Q85875924,2018-02-18,2022-03-30
Q21290358,"Minister for Science, Technology and Higher Education",Q107815200,Q23905333,2015-11-26,2022-03-30
Q21290358,Minister of Education,Q30121475,Q23799289,2015-11-26,2022-03-30
Q3060511,Deputy Prime Minister,Q25909451,Q58161,2013-07-24,2015-11-26
Q30045050,Minister of Internal Administration,Q43186728,Q3131021,2011-06-21,2014-11-16
Q367910,Minister of Education,Q30121475,Q2344342,2011-06-21,2015-10-30
Q9029075,Mayor of Lisbon,Q43185970,Q610788,2007-08-01,2015-04-06
Q10338225,Minister of the Presidency,Q111982239,Q2066785,2005-03-12,2011-06-21
Q610788,Minister of Parliamentary Affairs,Q56872893,Q550243,2002-04-06,2004-07-17
Q3119570,Minister of Education,Q30121475,Q769747,2000-09-14,2001-07-03
