wanted,position,positionid,from,start,end
Q22252746,Minister of Parliamentary Affairs,Q56872893,Q11764395,2013-04-13,2015-11-26
Q22252746,Minister of State for the Presidency,Q107815186,Q11764395,2013-04-13,2015-11-26
Q2344342,"Minister for Science, Technology and Higher Education",Q107815200,Q367910,2005-03-12,2011-06-21
Q527722,Minister of the Presidency,Q111982239,Q2066785,2005-03-12,2011-06-21
Q16940727,Minister of Parliamentary Affairs,Q56872893,Q550243,2002-04-06,2004-07-17
Q444059,Minister for Planning,Q107815181,Q5361358,1999-10-25,2002-04-06
