@@,itemlabel,item,startdate,enddate
+++,António Augusto Pereira de Miranda,Q16491159,1887,1891
+++,Pedro Augusto de Carvalho,Q18707835,1891,1894
+++,Júlio Marques de Vilhena,Q10313452,1895,1907
+++,José Adolfo de Melo e Sousa,Q16930175,1907,1910
+++,Inocêncio Joaquim Camacho Rodrigues,Q1664277,1911,1936
+++,Rafael da Silva Neves Duque,Q10357034,1957,1963
+++,Manuel Jacinto Nunes,Q10324229,1963,1966
+++,António Manuel Pinto Barbosa,Q16492239,1966,1974
+++,Manuel Jacinto Nunes,Q10324229,1974,1975
+++,José da Silva Lopes,Q10310706,1975,1980
+++,Manuel Jacinto Nunes,Q10324229,1980,1985
+++,Vítor Manuel Ribeiro Constâncio,Q529992,1985,1986
---,Vítor Constâncio,Q529992,1985-01-01,1986-01-01
->,Tavares Moreira->José Alberto de Vasconcelos Tavares Moreira,Q7689030,1986-01-01->1986,1992-01-01->1992
+++,Luís Miguel Couceiro Pizarro Beleza,Q10329729,1992,1994
->,António José Fernandes de Sousa,Q16491799,1994-06-01->1994,2000-02-01->2000
+++,Vítor Manuel Ribeiro Constâncio,Q529992,2000,2010
---,Vítor Constâncio,Q529992,2000-02-09,2010-05-31
->,Carlos Costa->Carlos da Silva Costa,Q524996,2010-06-07->2010,2020-07-20->2020
->,Mário Centeno,Q21568721,2020-07-20->2020,
