position,title
Q322459,President
Q1723031,Prime Minister
Q25909451,Deputy Prime Minister
Q107815192,Minister of Agriculture
Q107815497,Minister of Culture
Q30121475,Minister of Education
Q25917010,Minister of the Environment
Q107815370,Minister for the Environment and Climate Action
Q108619114,Minister of Environment and Energy Transition
Q61607793,Minister for Equality
Q99281259,Minister for Finance
Q4294919,Minister of Foreign Affairs
Q23196603,Minister of Health
Q107815037,Minister for Infrastructure and Housing
Q43186728,Minister of Internal Administration
Q43186489,Minister of Justice
Q107815771,"Minister of Labour, Solidarity and Social Security"
Q107814783,Minister of Maritime Affairs
Q107815971,Minister for Modernization of the State and Public Administration
Q25906445,Minister of National Defence
Q56872893,Minister of Parliamentary Affairs
Q107815181,Minister for Planning
Q61927426,Minister for Qualification and Employment
Q107815200,"Minister for Science, Technology and Higher Education"
Q25917009,Minister of Social Infrastructure
Q107815820,Minister for Territorial Cohesion
Q105715009,Minister without portfolio
Q25448371,President of the Assembly of the Republic
Q50362555,Governor of the Bank of Portugal
Q109515704,Chief of the General Staff of the Armed Forces
