position,title
Q89840006,Secretary of State of Tourism
Q106205891,ambassador to Angola
Q30301533,ambassador to Argentina
Q30301563,ambassador to Austria
Q110795978,ambassador to Brazil
Q30301543,ambassador to Colombia
Q38132401,ambassador to Côte d'Ivoire
Q27242184,ambassador to France
Q106436854,ambassador to Mozambique
Q106458079,ambassador to the People's Republic of China
Q110795701,ambassador to Spain
Q106457668,ambassador to São Tomé and Príncipe
Q28223826,ambassador to the United Kingdom
Q104163355,ambassador to the Holy See
Q98960414,President of the Regional Government of Madeira
Q43185970,Mayor of Lisbon
